batch_size,in_size,out_size,for_energy,for_time,back_energy,back_time
1619,495,114,25275.21,898.0697399999999,71155.14,2155.15018
1719,413,22,10978.310000000001,402.29742,32158.1,1067.92816
1395,441,244,28221.390000000003,1036.33514,94905.70999999999,2743.0984799999997
164,438,18,6865.8200000000015,134.3682,18154.21,531.3208000000001
797,508,238,22890.55,800.69694,62834.27,1850.1817800000001
1537,126,204,11060.789999999999,455.16902,42359.509999999995,1387.6334
683,14,298,7849.08,324.13300000000004,24744.800000000007,877.6249399999999
1104,169,220,11436.17,460.99637999999993,43339.06,1414.5408400000001
148,353,78,8021.2300000000005,228.54040000000003,21455.629999999997,747.9060999999999
678,332,488,20803.170000000006,785.38454,60371.52999999999,1764.80108
1236,11,72,7900.95,254.99804,21534.989999999998,748.8377800000001
1308,242,38,9718.56,328.75886,26469.090000000004,857.76926
1622,20,318,13892.189999999999,440.92821999999995,37380.270000000004,1287.0724000000002
346,293,213,11689.390000000001,396.88118000000003,44415.81,1383.8683
1233,446,44,12872.3,392.74182,33262.3,1056.4136799999997
102,142,328,7871.69,167.33736000000002,25085.369999999995,707.5673400000001
520,239,51,5828.209999999999,234.70546,22866.809999999998,795.2735
1655,94,103,9089.96,381.09515999999996,31183.98,1009.5623800000001
1271,290,52,11514.84,355.2036999999999,29291.329999999998,967.99506
1915,414,191,34611.79,1165.53532,93227.28,2716.6224599999996
1689,452,13,10117.72,347.4241,25745.79,888.3541600000001
514,188,366,11067.46,432.81764000000004,38608.92,1129.50844
1386,416,60,12438.960000000001,454.3813999999999,40370.96,1278.7077599999998
1209,23,481,5772.6900000000005,414.12641999999994,48016.89,1394.5248800000002
663,433,80,9168.7,355.33932,33341.56,1022.6287200000003
695,370,201,14271.219999999998,529.09374,45422.25,1405.75788
754,467,142,15554.189999999999,542.96432,48355.58,1407.19764
1631,306,299,29497.569999999996,1047.74468,77086.65000000001,2278.4326399999995
973,389,427,32762.98,1161.8700199999998,77720.17,2293.8945599999997
1734,423,56,13314.759999999998,507.64405999999997,45924.0,1446.9046
1825,76,171,13587.61,419.2542,36491.62,1263.5548199999998
1255,498,167,24844.97,894.88976,64866.159999999996,1995.5341600000004
1765,76,183,10931.380000000001,410.85238,38224.44,1246.6761600000002
500,262,56,7369.35,244.95131999999998,21868.249999999996,753.8369399999999
934,381,7,5825.790000000001,228.27035999999998,17702.579999999998,607.0204799999999
1504,491,260,36948.68,1260.2468999999999,127358.66,3724.3450800000005
1256,216,348,19512.31,702.62384,56731.990000000005,1761.9039400000001
607,345,178,12214.97,461.65353999999996,44722.17999999999,1472.77456
1123,109,408,13030.960000000001,464.74052,47047.03,1513.7638599999998
1810,463,200,31932.919999999995,1109.1400600000002,109617.59,3210.93182
501,426,212,15763.469999999998,488.62273999999996,47057.97,1463.86916
210,490,315,15459.55,459.86456,42943.020000000004,1201.4612599999998
1915,125,436,21916.43,819.2008600000001,68899.36,2228.6601
835,232,262,15504.710000000001,527.6247,43011.32,1307.3199599999998
1787,146,23,6694.339999999999,271.27308000000005,24157.620000000003,763.8942
1111,464,275,29302.910000000003,1004.2455,100312.91,2943.0621999999994
945,224,487,21792.53,807.3396999999999,58564.92,1804.1702400000001
1872,428,71,22813.03,787.11984,56056.990000000005,1688.34408
1496,187,126,13179.909999999998,469.93528000000003,38232.35,1252.37552
551,328,76,9475.7,310.39044,29365.79,965.7121800000001
1551,289,408,33148.12,1105.82074,81999.9,2495.6246600000004
263,413,229,13943.409999999998,410.13361999999995,37614.630000000005,1127.4328600000001
1346,168,26,9182.710000000001,253.34168,23426.45,740.3305400000002
1117,491,480,48599.11,1564.22826,154961.17000000004,4453.27022
521,298,246,13964.820000000002,487.22339999999997,53032.81,1646.4676000000004
608,252,236,13538.8,462.7253400000001,41840.72,1282.23562
587,393,83,11005.240000000002,382.96186,29538.479999999992,985.9472400000001
1799,342,94,18337.94,660.0446999999999,46185.259999999995,1452.0743000000002
484,260,301,13328.84,497.21626000000003,37173.37999999999,1141.1097599999998
678,77,353,9719.8,339.92214,34058.79,1068.56568
1279,48,247,8824.45,339.48384,35883.06,1167.6113
1859,109,328,15170.230000000001,567.76636,59583.05,1812.74372
217,156,82,6160.889999999999,185.67934,19952.289999999997,606.8664799999999
532,129,318,8956.849999999999,357.71340000000004,33453.27,1028.0157599999998
897,24,49,7886.37,218.76837999999998,18855.57,667.3820199999999
53,432,272,8853.11,220.23282,27615.910000000003,798.68976
1364,305,93,12944.250000000002,526.23872,39550.719999999994,1206.6436600000002
346,325,30,6633.9000000000015,193.35240000000002,16697.39,637.8794
45,259,422,10014.02,185.5689,22250.9,663.32946
1285,168,153,11425.780000000002,454.14322000000004,39080.11,1203.0557999999999
1881,11,69,8045.65,307.72541999999993,22265.57,801.60748
1945,493,51,18007.16,626.3650200000001,54196.030000000006,1643.3666799999999
1954,350,106,21459.329999999998,768.032,50662.67,1564.6303200000002
334,443,196,11556.359999999999,464.89705999999995,39872.350000000006,1231.2172800000003
269,256,335,17522.480000000003,591.46516,28911.6,921.8987999999999
917,437,42,9840.680000000002,346.80252,29725.9,931.8097600000001
1552,114,196,12472.490000000002,444.34192,38953.15,1318.7525799999996
577,443,440,25875.79,891.3348,81998.69999999998,2394.1267000000003
1598,19,445,12245.429999999998,515.9052200000001,47697.07,1629.3114400000002
1248,417,505,47090.28999999999,1561.61238,94407.72,2811.9725200000003
517,173,432,11832.869999999999,399.89795999999996,36665.490000000005,1207.50226
1079,426,236,20114.06,807.37726,85031.54000000001,2440.5806999999995
918,179,186,11321.359999999999,422.34974,34000.86,1151.53714
37,506,488,8967.869999999999,224.50022000000004,30349.039999999997,828.2431200000001
658,141,104,9899.88,292.87036,28853.609999999997,978.9961800000001
1138,159,27,6895.109999999999,246.00792000000007,18845.78,666.4228999999999
1870,63,482,16575.97,604.8546399999999,65467.31,2127.4429200000004
176,478,180,12866.16,364.67698,26608.2,812.2462
396,13,447,6978.160000000001,276.27722000000006,23430.69,876.2452999999999
473,18,403,6959.779999999999,280.00756,24112.56,864.3558
42,490,41,8077.369999999998,113.56096,18338.55,537.36034
564,372,474,20280.72,713.02882,52614.02,1553.4569399999998
1132,34,78,7925.43,249.44324,22292.36,784.05496
2013,251,191,22604.889999999996,865.2728,64883.85,1955.3605
339,213,127,8413.640000000001,271.76115999999996,27791.090000000004,948.7257400000001
1649,52,9,5988.16,182.02727999999996,14569.65,563.25694
1198,434,74,12744.109999999999,510.78423999999995,37797.810000000005,1212.7430799999997
1099,332,205,17833.22,670.02884,71852.22,2242.4526199999996
1867,27,399,14368.299999999997,561.2410199999999,52025.03,1702.40044
2024,420,181,32376.629999999997,1174.3144599999998,107511.90999999999,3243.64136
1767,81,112,7491.38,312.2922,29227.280000000006,1016.2513999999999
784,186,410,13781.690000000002,556.1298199999999,43773.65,1388.983
782,94,113,9882.789999999997,350.61109999999996,25815.989999999998,872.2302400000001
293,373,430,27911.3,881.96214,38566.14,1134.1296399999999
277,392,45,8397.19,214.7335,19059.43,647.1491599999999
2031,444,186,30461.97,1207.2988,98456.13999999998,2847.0195199999994
1462,220,485,29641.590000000004,1058.9328,80255.03,2365.9078
1313,18,464,8952.0,346.25611999999995,38602.22,1337.83988
956,381,110,11051.649999999998,491.01444000000004,40662.71000000001,1272.58106
906,439,338,27285.05,966.58632,84845.38999999998,2543.7590199999995
1220,368,103,16092.51,594.50032,40563.83,1271.73752
585,195,179,10043.300000000001,377.7596,43868.88,1445.35628
1468,196,480,21921.28,847.0818599999999,69676.99000000002,2165.4751600000004
1983,11,190,14226.679999999998,505.2326800000001,32622.629999999997,1208.3741599999998
1113,351,492,34287.62,1155.0759200000002,81476.28,2560.6069399999997
417,93,409,9608.12,346.77482,29564.819999999996,966.55026
340,287,353,24254.1,883.5999399999998,33307.94,1093.7121
1691,494,159,33127.93,1101.495,93128.45,2749.62208
1576,284,103,16085.77,619.8315000000001,43069.38,1281.0285800000001
1734,251,295,27047.02,976.0440000000001,73346.35,2186.0154199999997
834,120,500,13604.069999999998,494.90740000000005,41391.479999999996,1308.8968399999999
136,121,14,6840.160000000001,102.16716000000001,19145.44,492.80141999999995
1896,192,490,31944.51,1148.02158,89153.86,2693.68052
691,415,484,26983.579999999998,917.1094999999999,68840.74999999999,2029.1613399999999
954,414,96,12316.91,446.72304,38491.12000000001,1189.1802199999997
1885,233,458,36813.219999999994,1312.10102,96038.61999999998,2947.1884
203,69,237,7783.2,222.16422000000003,23372.14,697.11706
679,371,170,13163.409999999998,487.23878,41517.829999999994,1311.5547600000002
1209,369,378,31227.920000000002,1101.42612,78141.28,2314.83558
1260,340,289,26943.9,972.23806,103049.68999999999,3176.5217399999997
451,70,105,7119.109999999999,228.11150000000004,20729.91,734.39282
993,103,76,7960.790000000001,287.0589,24399.99,862.33554
111,115,390,7802.13,188.29191999999998,25587.120000000003,724.7909000000001
360,109,488,16185.88,542.0113599999999,34131.41,1056.12102
1708,330,55,12719.060000000001,444.43157999999994,35579.72,1113.9824199999998
446,154,109,9685.04,278.89856,26642.99,891.10694
68,50,28,2734.9500000000007,62.29577999999999,9704.609999999999,375.75674
1690,305,140,17409.030000000002,673.80448,52229.55,1586.4984
1378,406,222,25322.280000000002,920.2071,87054.75000000001,2488.9269400000003
832,135,156,10015.22,343.99886000000004,30461.97,1007.23514
1124,409,167,18756.66,758.14886,55855.579999999994,1769.4765199999997
1784,310,376,33250.69000000001,1196.6412,94955.21000000002,2796.46036
757,106,194,8534.52,317.47934,28306.840000000004,993.30518
267,510,107,10097.65,355.32898,25502.24,847.44946
1754,311,151,19562.32,783.10548,53864.03999999999,1694.32966
1259,369,239,24669.76,896.18714,101717.86,3035.64162
1939,143,355,22199.69,824.38814,74810.62999999999,2204.7113
447,454,304,14390.85,568.14022,54814.31000000001,1683.4607
117,246,379,10917.94,228.10524,30789.760000000002,793.6791000000001
1639,19,264,12435.29,429.93942000000004,35628.619999999995,1235.8171200000002
1439,229,393,23990.44,890.9891,67952.04000000001,2105.54454
1591,456,150,24873.52,921.7439999999999,78794.41,2317.5454
918,136,367,11341.5,500.3926799999999,43929.35,1381.98948
1043,405,386,34012.99,1102.59074,107055.94000000002,3168.06304
516,271,63,7664.139999999999,245.73026,22419.99,797.40894
289,236,155,10025.019999999999,292.12366000000003,32538.4,1012.7724600000001
1512,354,155,21226.06,770.26876,55388.06999999999,1710.2598600000001
332,272,83,8456.36,248.77836000000002,24098.5,763.0676800000001
1764,15,412,16857.260000000002,592.2972,49332.090000000004,1690.6346999999998
1172,112,475,15833.080000000002,553.5021599999999,49645.31000000001,1564.8817000000004
281,88,198,9064.31,234.71071999999998,23800.000000000007,737.4105599999999
552,336,358,16905.480000000003,638.26306,44244.259999999995,1333.9669799999997
1072,247,343,20080.49,743.8638599999999,55627.94,1761.5749200000002
1992,409,501,72919.73999999999,2353.1830199999995,128849.76999999999,3921.631
1333,317,379,26874.97,1026.4883999999997,78585.0,2281.420080000001
921,62,155,10797.060000000001,288.89684,26479.4,955.3908799999999
147,313,101,8693.84,226.24822,21011.94,631.9376
100,228,488,12990.1,220.98296,32513.9,756.9885999999999
1430,351,47,8341.08,399.59712,35448.53999999999,1026.5072800000003
1061,95,421,13955.630000000001,483.7157400000001,45055.43,1477.7104599999998
1151,467,446,42786.759999999995,1494.21036,133647.73,3803.8260600000003
895,465,236,21868.79,785.1532600000002,70814.7,2149.7114199999996
773,429,336,21871.89,776.14414,85953.73999999999,2562.9894400000003
1483,168,279,20989.93,641.71312,57785.58,1758.9423399999996
770,426,296,20521.269999999997,721.18552,80574.7,2382.17536
210,420,337,17430.350000000002,455.63598,40496.11,1172.42706
2009,178,111,14495.179999999998,543.5227000000001,42783.119999999995,1316.56856
106,426,195,8513.8,302.34962,28888.469999999994,877.2739800000002
1898,107,196,12814.32,458.80534,45875.72,1447.09536
1106,433,32,7820.4299999999985,307.8063,29142.359999999997,941.1291800000001
276,206,467,16356.839999999997,537.77948,32839.240000000005,994.5042000000001
767,444,55,9755.23,346.32990000000007,28811.579999999998,931.5237999999999
1258,410,192,19081.98,746.18066,72612.75,2142.44192
668,500,410,27961.940000000002,972.78814,81569.62,2358.0529199999996
952,497,372,33137.06,1090.4718799999998,118213.88999999998,3438.8671799999997
1921,218,251,24110.679999999997,904.30134,66274.22,2144.1412
2020,88,298,13408.179999999998,565.97932,53448.27,1669.8292000000006
1309,412,250,27380.920000000002,988.5951400000001,89253.93000000001,2638.39604
1539,72,501,16348.88,570.0267200000001,51951.72,1680.68116
68,142,121,7332.74,129.50706,16063.789999999999,606.6328599999999
689,403,152,15711.059999999998,480.06538,39363.89,1276.97746
935,267,355,18973.93,707.86476,53488.03999999999,1691.5066600000002
1625,222,210,20664.670000000002,726.54998,59559.719999999994,1803.34764
798,400,158,14113.13,544.5487400000001,49807.7,1501.28772
318,137,84,7405.99,224.8071,22242.980000000003,692.11754
1578,246,229,21696.719999999998,816.8924799999999,62144.6,1884.2095599999998
1440,45,259,10375.93,348.36319999999995,38165.15,1253.57546
1013,333,165,17240.530000000002,573.61352,58192.0,1810.17802
1495,467,341,44978.520000000004,1482.2035799999999,141545.66,4163.669120000001
911,381,99,15048.14,507.1935399999999,36849.88,1207.20468
930,229,372,14227.289999999999,630.8350800000001,47653.05,1575.2474200000001
1629,197,103,14265.130000000001,489.70977999999997,35187.299999999996,1185.9930799999997
1328,305,178,14551.34,667.1675,52994.3,1639.3534
1027,260,128,11553.310000000001,399.03772000000004,34625.79,1155.54738
1559,14,255,10490.710000000001,431.72342,32838.659999999996,1173.2784399999998
828,15,480,8807.369999999999,283.65892,30204.370000000003,1092.17254
417,22,81,5002.41,224.01817999999997,17121.550000000003,621.3131800000001
595,199,131,11378.13,351.55494,36802.3,1177.83134
1706,343,149,22697.05,827.72558,57759.2,1767.0527799999995
551,287,354,16425.14,579.64734,42426.719999999994,1323.10366
1982,220,352,26397.68,990.04306,80625.38999999998,2365.4486399999996
1483,260,380,25431.5,944.6150999999998,68993.9,2159.59334
720,348,238,14982.9,600.7714600000002,60522.28999999999,1898.42034
2027,350,225,33600.979999999996,1178.00628,80239.67,2415.8696200000004
1042,228,272,12523.779999999999,522.47,47667.100000000006,1514.17032
2011,511,495,89617.71000000002,2860.1336,252532.94,7486.04832
1427,442,505,57039.11000000001,1866.2565600000003,104175.72,3092.73652
1788,281,375,33641.25,1253.83558,91138.68000000001,2711.9089200000003
1444,485,244,33511.89,1141.1101,111939.4,3355.1125199999997
