batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
1907,12,23,18,4,3,396645.16,17666.69994,442987.14,16903.8337
51,6,26,20,7,1,29319.950000000004,999.0049599999999,63859.159999999996,2137.50612
272,3,44,58,3,1,1184249.27,28489.765059999998,3323989.3199999994,78588.02746000001
917,3,21,20,7,3,26263.920000000002,964.63562,59095.33,1839.8492
576,3,9,27,5,3,21387.86,848.8288399999999,66301.69,2213.11604
1283,1,33,42,4,3,252875.96000000002,6849.205620000001,1053200.51,27372.57122
1492,14,7,10,4,1,114528.51999999999,3640.7879399999997,105442.21,3063.7973199999997
1347,1,31,27,7,2,158072.78,4264.017880000001,862207.2300000001,22512.752360000006
1229,5,52,49,3,2,1198048.11,30474.827640000003,3775800.909999999,90885.96243999999
305,4,53,28,5,2,71091.13999999998,2187.2654199999997,233159.75,6847.55662
866,4,25,46,8,3,257480.41999999998,6307.09078,967829.5599999999,25115.11362
322,15,40,62,3,3,783925.61,17825.60934,1101091.6099999999,23401.019980000005
38,8,4,24,7,3,28140.82,550.02928,30604.210000000003,631.67872
1721,2,41,63,8,3,1257694.56,30777.765880000003,5625112.55,133504.82896
1556,12,1,9,7,2,56474.500000000015,1851.1981999999996,47443.659999999996,1426.6779
1754,9,21,47,6,3,1993952.44,51683.89204,2664548.2,61791.36772
598,14,33,20,4,3,107585.81000000001,3340.2226,158686.83000000002,4444.250840000001
453,14,60,10,4,2,39404.84999999999,1361.3403199999998,89170.25,2580.8288000000002
440,1,30,42,6,2,95170.07999999999,2687.88028,632787.59,16833.32516
906,8,2,46,6,3,432150.99000000005,12674.04338,342554.73,9643.428600000003
1768,13,11,27,3,1,1264905.81,32137.49046,1929158.89,46973.76961999999
1787,14,35,39,7,3,2464755.6999999997,59494.81656000001,2662674.43,59726.858140000004
1256,5,15,20,8,3,59085.56999999999,1869.6658,164379.43,4764.70272
137,13,57,41,6,3,188696.97000000003,5366.43694,259348.73000000004,7164.927959999999
281,11,2,22,7,2,72205.61,2490.33164,50670.619999999995,1701.6137000000003
623,10,41,25,6,1,1496312.1099999999,33247.27398,2005784.65,44884.59186
90,9,12,33,8,1,223426.49,5795.934,215219.18000000002,5599.623619999999
215,14,3,45,6,3,188957.66999999998,5650.7214,172531.92,5049.26168
1281,9,4,15,6,1,326554.33,10347.16864,177545.31,5217.6993
247,15,17,37,8,3,196554.14,5521.353840000001,240316.71000000002,6642.64868
1295,13,37,15,3,3,114738.42,3494.3255,210932.70999999996,5819.742899999999
781,5,44,36,5,1,1503540.41,32444.834759999998,4050376.0100000002,90018.92134
1522,8,49,58,7,2,5458244.050000001,129253.91652000001,7936590.419999999,177334.52628000002
480,10,29,8,5,3,18889.810000000005,798.75908,40144.490000000005,1272.34292
1716,5,58,33,5,1,3219147.0000000005,71278.23143999999,9303849.510000002,209121.15616
2013,6,50,44,6,1,8003724.07,160089.35486000002,18462203.07,411141.36518
1119,11,37,40,5,1,5506471.540000001,132309.43902,8376473.88,183766.59003999998
1489,8,22,41,7,2,1512358.2100000002,36139.9958,2147241.19,51337.33902
1804,7,29,8,4,3,21766.299999999996,666.1243400000001,66354.2,2005.1996
396,15,57,22,8,2,357442.93,8738.024340000002,464707.68,11958.37626
1886,7,49,50,5,2,2538985.25,67489.71332000001,6289837.970000001,143540.48458
892,13,26,34,5,2,798870.65,19446.1359,1164322.5900000003,28388.95146
1662,7,44,10,3,2,44366.95999999999,1436.64488,113916.32000000002,3229.3817599999998
1576,2,44,51,3,2,1142618.5199999998,27716.646760000003,4473404.09,103781.14131999998
1247,13,38,38,7,1,8678569.120000001,196620.99193999998,9971300.180000002,214729.34336
1342,12,42,29,6,2,1461487.31,32681.1604,1998400.6800000002,46090.5182
881,10,44,54,5,2,3101028.41,77196.49523999999,4713372.96,103541.8842
962,13,46,32,4,2,1001749.78,24062.297580000002,1691196.2399999995,40348.16236
692,12,16,40,8,2,1121378.95,27944.939280000002,1074023.8,25840.460240000004
665,2,18,10,5,2,12202.09,408.49784,34036.16,1091.7234599999997
620,11,60,10,4,2,53568.53999999999,1775.4131999999997,106236.35,3262.4788
232,6,3,46,5,2,57792.83,1970.5620999999999,93233.39,2914.43356
1397,15,60,46,8,3,4238924.1,100666.0818,5448305.16,121632.93490000002
2031,9,14,8,3,3,40197.61,1394.4513599999998,69731.87999999999,2085.45762
47,14,23,44,5,1,161632.93,4426.030360000001,223205.01,6171.034979999999
925,13,10,30,3,1,848620.22,21426.29014,1286180.85,31422.382580000005
562,10,36,22,7,1,1068323.0799999998,24328.3737,1106461.4600000002,24643.238640000003
1094,9,49,37,4,3,964235.7600000001,23242.42644,1519957.06,36194.57314
1542,12,37,46,4,3,2013196.77,51472.487940000006,3016968.56,70545.37606000001
793,13,54,50,3,2,1762743.31,44557.121020000006,3353658.4699999997,78959.98536
527,14,42,43,8,1,6625217.4,145476.20954,8347810.7,186894.28308000002
917,11,14,32,8,3,602113.9199999999,15935.652899999997,601072.0799999998,15775.49344
534,10,24,25,6,3,146402.21000000002,4350.259120000001,192313.33000000002,5487.554980000001
932,8,2,60,5,3,823761.95,23765.341980000005,615013.04,17077.2947
558,5,32,26,7,2,98672.26999999999,2795.7223000000004,251981.78999999995,7068.839159999999
565,7,12,50,8,2,462848.48999999993,11191.557239999998,826401.1399999999,20848.52778
1161,3,19,23,6,2,67061.0,2084.32494,148056.16999999998,4203.704680000001
1209,7,6,42,6,3,217024.55,6623.711240000001,423231.3,12255.329020000001
1254,11,25,32,8,1,5165485.509999999,119660.55240000002,6591715.880000001,151479.16442000002
1181,6,21,55,5,3,468032.20999999996,11732.01534,1325241.99,33678.35532000001
1141,5,60,24,7,1,1378992.45,30914.16718,3465235.2700000005,80728.07152
2009,6,5,45,3,1,1105689.32,28549.331420000002,2505831.5599999996,60623.638
1025,8,61,21,4,3,124516.28,3719.81498,304179.5399999999,8518.05344
1705,7,2,16,3,3,31987.870000000006,1184.0571000000002,58553.96,1918.1432999999997
1489,15,34,40,8,3,2550011.2299999995,62782.133440000005,2827592.88,64870.96442
759,11,39,46,8,3,1773749.7200000002,42397.94066,1848849.6000000003,42256.046760000005
1450,8,39,53,4,2,2555363.3,69806.00736,4364790.46,103125.1245
1991,8,13,36,3,2,826353.4599999998,21141.172379999996,1389842.63,34903.78914000001
163,11,35,52,6,3,364482.00000000006,9615.076319999998,465510.27999999997,12230.439699999999
1758,12,21,35,5,3,1050038.21,26794.3491,1321523.6800000002,32589.60322
1894,9,55,20,7,1,3265132.0300000003,80254.50490000001,4216112.23,106866.39254000003
1423,15,7,27,8,2,789501.8,22345.047599999998,525327.6399999999,13985.483919999999
657,9,24,27,5,3,191882.44999999998,5530.6585,309722.7,8629.82114
790,10,15,20,4,1,291160.19000000006,8287.052500000002,478332.5,12874.08056
1267,4,36,31,5,2,428103.76000000007,10210.68132,1216754.7000000002,29057.41108
327,6,54,23,4,3,29670.97,1025.16476,73440.98000000001,2167.1702800000003
1739,11,21,17,3,3,169379.50999999998,5079.185780000002,293345.16000000003,8552.339800000002
1428,13,18,19,7,2,411055.53,11100.5228,492351.00999999995,13509.82544
544,6,9,58,3,2,282225.81,8067.999479999999,761602.6799999999,20944.78582
75,5,34,53,6,3,46211.47000000001,1328.31452,106235.60999999999,3038.36342
634,13,54,33,8,2,1458441.0299999998,32562.21524,1773329.83,41302.025579999994
410,3,12,57,6,3,83395.23000000001,2455.4828799999996,221501.44,6353.152260000001
791,15,6,58,8,1,6880673.290000001,181752.55813999998,4766958.600000001,116136.20864
401,2,13,12,7,3,12157.560000000001,336.98398000000003,34992.55,1036.3454
776,1,51,13,7,1,39127.72,1423.36882,226065.71999999997,6781.00496
1832,5,17,9,3,1,45052.95,1466.05358,127457.51000000001,3810.7344399999993
1485,7,55,25,8,3,267753.75,7208.8421,555890.94,15825.00632
1594,11,30,60,8,2,8203293.160000001,205926.49722000002,10536845.58,243977.74196
505,8,14,26,8,1,380592.89999999997,10350.18566,434050.38999999996,11608.8994
