batch_size,k_side_length,stride,in_chan,im_side_length,for_energy,for_time,back_energy,back_time
1660,7,1,8,51,15165635.65,403374.02384,0.0,0.0
872,3,2,13,80,3861796.16,92006.95109999999,0.0,0.0
466,6,1,27,75,29360707.830000002,669706.57116,0.0,0.0
1386,6,1,9,59,16884506.349999998,443131.21651999996,0.0,0.0
1027,5,1,25,64,34529600.34,770360.8216,0.0,0.0
708,9,3,24,93,11718378.9,260747.54018,0.0,0.0
132,7,2,8,61,485596.2799999999,15093.75734,0.0,0.0
1166,8,2,24,67,17570935.32,390683.80478,0.0,0.0
491,7,3,4,69,525034.67,17716.27454,0.0,0.0
47,3,2,18,96,441265.32999999996,12642.753760000001,0.0,0.0
322,8,3,31,57,2036509.67,45696.490199999986,0.0,0.0
257,6,2,29,89,6533407.359999999,154111.49226,0.0,0.0
1623,4,3,12,83,4439219.589999999,102902.48194,0.0,0.0
1368,2,1,13,80,13540595.77,312380.17442000005,0.0,0.0
1325,2,3,25,96,5687073.4799999995,130349.05384,0.0,0.0
1099,2,2,19,57,2425151.9099999997,56634.5181,0.0,0.0
1046,3,3,30,98,7549030.95,165973.32926,0.0,0.0
903,2,3,16,58,797032.87,18479.4768,0.0,0.0
384,2,3,7,74,260864.82,5663.83258,0.0,0.0
258,9,3,26,59,1650818.4899999998,40444.74957999999,0.0,0.0
1090,5,1,14,68,23079655.21,545964.14856,0.0,0.0
1396,8,2,19,74,21569962.5,465464.19591999997,0.0,0.0
1043,7,2,20,72,13098150.68,312988.65056,0.0,0.0
261,8,2,24,98,9128866.379999999,216920.05338000003,0.0,0.0
1953,5,3,8,58,1993691.15,63237.20505999999,0.0,0.0
603,9,3,12,72,2775746.02,69311.09391999998,0.0,0.0
260,8,2,9,57,988213.4,29260.84472,0.0,0.0
1886,3,1,4,96,12132528.760000002,325139.42168,0.0,0.0
390,5,3,17,76,1493469.6600000001,34597.982860000004,0.0,0.0
1307,3,3,29,55,2851041.88,63297.88656,0.0,0.0
1478,3,1,3,94,7279757.38,190699.16808,0.0,0.0
1680,3,2,15,61,5051924.35,122849.13639999999,0.0,0.0
730,9,2,26,92,27222742.2,583071.3964399999,0.0,0.0
1975,4,1,5,75,13483594.040000001,349024.11673999997,0.0,0.0
1708,8,2,26,54,17572310.990000002,396629.49288,0.0,0.0
86,2,2,15,69,231387.36999999997,6127.8575,0.0,0.0
1418,7,1,29,92,170371231.32,3428479.5232,0.0,0.0
62,9,1,5,84,1617579.54,43936.969560000005,0.0,0.0
