batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
2033,7,11,12,8,2,30418.68,582.96328,223202.48000000004,1474.4628800000003
209,6,10,38,4,2,33846.340000000004,446.02348,197929.16,1415.16176
1264,3,13,54,5,1,3569789.5599999996,26345.15478,8603504.5,61052.932400000005
199,14,7,16,6,3,19969.44,239.97164000000004,37426.66,284.85281999999995
1403,3,5,50,6,1,2423096.8400000003,17318.321999999996,3559419.6399999997,25538.482580000004
603,10,9,32,7,2,866551.82,5788.1239000000005,1026923.64,6714.6395999999995
339,6,7,52,6,1,1051458.4800000002,6801.80738,1629699.26,10559.040900000002
227,15,8,11,4,2,15230.66,173.35542000000004,33150.54,247.64479999999998
1763,5,10,34,3,2,329474.2,2580.0331399999995,1459600.82,11085.90102
704,6,6,12,6,3,17763.620000000003,164.82135999999997,44977.96000000001,307.25656
1464,4,1,25,5,3,43786.54000000001,567.2716399999999,176734.2,1286.51612
319,7,10,47,4,3,51433.020000000004,554.24462,365030.75999999995,2263.5196200000005
1522,14,11,51,5,3,3867922.28,24098.9733,4774333.44,30487.232739999996
1116,11,12,63,5,2,4267392.68,37424.638920000005,5487532.380000001,53092.39502000001
754,15,1,61,8,1,7910728.139999999,101125.44694,6173258.040000001,70769.59532
1417,7,5,43,6,3,387039.9999999999,3039.62826,1183203.7799999998,8762.306800000002
894,11,3,55,7,3,2119894.42,18339.59266,1824549.8399999999,16768.87014
1083,12,9,24,5,3,324954.02,2684.69794,461658.92000000004,3790.0019399999996
210,7,12,10,7,3,8966.039999999999,102.66850000000002,20716.519999999997,260.60608
412,13,10,51,3,3,714356.02,6139.10088,937109.4600000002,8443.223499999998
1729,4,7,54,3,1,2465643.1399999997,20110.73448,6575454.4,57838.6557
586,9,11,39,6,1,2127699.62,22262.11998,2543833.86,30469.64798
262,4,14,13,4,3,3493.6400000000003,123.96765999999998,24027.079999999998,349.22220000000004
1111,1,11,25,8,1,184279.28000000003,1990.8645199999999,1203567.4999999998,12255.9337
1487,2,7,57,5,1,2365519.9600000004,20316.948239999998,6454013.119999999,64851.85210000002
1076,1,5,9,6,3,4604.460000000001,106.98773999999999,20889.8,336.1263799999999
781,7,14,39,8,1,2162987.5799999996,20685.68264,3174069.04,36791.90497999999
1262,8,1,50,6,2,1822292.6599999997,14242.25822,1580067.9200000002,12372.66892
861,4,4,48,6,3,157477.7,1339.53906,729242.4200000002,5795.351479999999
1161,7,12,43,4,1,2232264.7,18257.69984,4757680.780000001,44738.14316
586,2,6,37,3,1,103105.16,1111.45746,708125.6400000001,5976.838019999998
901,13,2,45,8,3,1738147.4200000004,14005.626379999998,1485655.36,11728.408080000001
298,1,8,30,4,1,8754.859999999999,358.46085999999997,184749.31999999998,1571.0270399999997
49,10,4,36,5,1,66912.68,997.4825800000001,77867.26000000001,930.9622999999999
1826,5,6,19,4,1,234745.52000000002,2032.8951399999999,494959.68000000005,3898.9398800000004
1550,6,11,16,7,3,52003.16,608.4109799999999,156004.26,1190.9858
928,3,6,31,4,2,39367.53999999999,553.33714,125818.68000000001,807.09976
551,7,4,28,7,2,108218.77999999998,1026.98634,163075.7,1177.4577000000004
804,7,12,50,7,2,950614.18,7048.415080000001,1801019.5,15199.519880000002
1385,15,9,39,6,3,1938050.4,14171.586959999997,2252692.0199999996,16593.440299999995
1655,6,7,17,6,3,36893.2,501.2075999999999,105476.92000000001,759.0854200000001
1508,15,11,62,7,2,7689222.219999999,69094.98604,7910574.260000001,84988.76692000001
767,10,5,23,4,3,105239.04,1113.4657,169174.32,1127.58156
1035,5,12,62,3,3,422691.8,3616.536060000001,2212466.26,16913.9542
563,2,5,60,5,1,828706.34,7899.175160000001,2337522.0999999996,23759.469179999996
2024,1,9,62,7,3,486495.36000000004,4850.52124,3329259.02,34860.737080000006
677,13,1,54,6,2,1959156.5,17595.834039999998,1555655.12,14511.245619999998
1120,11,6,39,7,3,1333404.8,11056.574560000001,1252715.3800000001,10202.92368
1243,13,1,16,7,2,173307.63999999998,1639.9794200000001,180923.66000000003,1292.6652
1794,10,4,32,3,1,2069196.4,17847.31568,2301631.1000000006,20571.31158
256,15,11,57,7,3,818828.5399999999,6108.54444,908580.36,7334.143479999999
263,7,2,38,6,3,36799.26,462.75158,69684.86,657.12298
2012,15,4,19,6,3,522446.18000000005,4423.5360200000005,532275.34,4055.5970199999997
1480,5,11,38,3,3,162006.50000000003,1517.59026,1063931.62,8026.614479999999
185,7,12,43,3,1,177665.62000000002,1432.00084,523787.7800000001,4294.486780000001
1429,8,4,21,3,3,72676.84,962.5278599999999,220746.48000000004,1458.63586
791,15,12,43,6,1,4427106.639999999,39622.720180000004,5119629.199999999,54553.192859999996
1791,6,12,60,5,2,2369838.8400000003,18193.86428,6410526.779999999,48424.49374
1980,5,11,37,7,2,913983.1199999999,7227.989019999999,2318744.1399999997,20352.504940000006
820,2,13,27,3,3,14332.26,292.3674,153832.62,1323.8258399999997
100,11,7,9,5,3,12957.719999999998,102.50735999999999,16594.18,207.31656000000004
1300,15,8,20,6,3,276088.27999999997,2263.73686,319741.55999999994,2485.85752
1832,11,11,28,6,1,3516228.84,33202.71548,3924831.22,44813.07148
851,1,7,52,6,2,88897.58,1081.72298,1023184.6199999999,9558.41142
1474,12,6,60,7,3,4043519.94,34952.743200000004,3498864.3,33424.42276
1531,12,1,43,6,3,2269479.0599999996,18644.40322,2232250.1399999997,17171.593119999998
735,6,12,55,5,3,311390.79999999993,2228.65664,1261070.96,9195.9841
929,1,14,45,3,1,1372118.0,12462.25856,4314589.88,39663.05248
1824,1,1,15,8,1,19872.98,511.53314,198139.27999999997,2032.7741999999998
1486,4,13,15,4,1,94777.63999999998,955.58912,401460.1,3261.6090400000003
701,10,8,25,4,2,185069.08000000002,1657.1017800000002,254108.20000000004,1917.7971599999996
262,8,13,35,3,1,187754.74,1480.4229999999998,539327.14,4336.79886
1801,6,4,23,4,1,397721.18,3327.57262,734122.9,6327.46444
753,5,15,8,8,2,6179.2,128.21302,16601.5,302.87140000000005
45,14,7,32,7,3,26435.500000000007,292.83864,21622.239999999998,364.47398000000004
114,13,13,23,6,2,22231.42,417.13491999999997,49570.12000000001,593.6197
1791,4,8,25,4,1,436224.45999999996,3635.70352,1316933.8800000001,11021.043399999999
622,12,10,34,8,3,542359.4400000002,4018.76578,626425.3800000001,4935.031939999999
661,3,10,61,4,1,1802918.92,16381.695860000002,3507455.659999999,36968.296760000005
1656,4,12,39,5,2,540212.24,4129.532300000001,1948304.2999999996,16544.24008
405,14,5,31,3,3,126143.5,1087.9193,252996.08,1795.14662
1860,4,1,63,8,2,1873997.9599999997,15214.1117,4502272.379999999,45496.65002
1172,3,3,34,8,3,71617.28,818.38824,183784.97999999998,1455.6244800000002
2022,6,10,17,6,3,51232.84,724.2372999999999,209509.91999999998,1348.17312
1048,5,9,26,8,1,649612.54,5864.264039999999,1153166.1,12279.59142
1658,3,12,50,6,1,3762927.44,31464.921839999995,6870546.459999999,66859.04266
1654,10,10,15,7,3,138081.94,1482.4234999999999,235358.34,1868.53718
1132,1,10,13,3,3,9357.939999999999,195.3428,46982.34000000001,564.2918999999999
495,5,14,16,4,3,20248.98,181.80033999999998,27786.78,451.7459400000001
539,12,15,60,3,1,3211896.08,29033.240120000002,5123227.779999999,53537.95029999999
1932,15,8,26,5,1,2543089.1399999997,22220.08028,2462385.0999999996,23049.88714
1985,7,12,34,5,2,665946.8600000001,4466.87954,1900502.92,14236.90306
1647,8,9,26,7,2,573757.04,4614.9425200000005,749215.6,5960.196559999999
1021,11,7,17,6,2,125527.0,1250.12664,156587.68,1192.3403600000001
314,14,8,49,5,1,1403877.02,12735.851579999999,1322760.3199999998,13153.717939999999
527,11,10,44,4,2,783778.46,6707.480079999999,1058060.0399999998,8999.95284
342,6,10,43,3,3,19975.6,386.66546,221495.92,1549.37614
200,1,1,44,3,1,17728.28,277.41136,115324.31999999999,1315.38122
1164,7,15,28,7,3,202624.0,1585.29902,502000.66000000003,3589.78898
1728,15,6,13,7,1,421137.88,3670.036600000001,329728.22000000003,2795.18286
1531,2,5,37,8,3,129496.72,1178.6501199999998,673300.3,6012.10968
639,6,8,59,6,1,2149695.4199999995,19512.9078,3487619.2,34201.21642
551,10,2,51,7,2,1490026.72,14030.930900000001,1177883.8800000001,11228.977420000001
51,11,12,37,5,1,91302.18,1140.2835000000002,172172.41999999998,1591.65594
1992,6,3,43,3,1,1756210.1600000001,14288.97262,3673114.4200000004,32284.446279999996
815,15,11,20,7,2,284918.68000000005,2324.4573800000003,345985.44,2657.8662600000002
1425,1,1,42,8,1,622703.42,6994.27938,2353324.1,30830.667120000006
1860,9,5,37,5,3,1743125.36,14327.7164,1757950.78,14427.365639999998
267,2,5,8,8,1,10177.02,79.57231999999999,13643.720000000001,216.42935999999995
256,6,14,27,3,3,14335.920000000002,188.21702,35804.34,518.3462400000001
1302,4,13,15,4,2,20617.62,321.17629999999997,101110.65999999999,902.8663399999999
384,14,14,25,3,1,237555.6,1812.12248,502963.84,4005.7998400000006
1886,2,4,15,5,2,11295.18,317.33188000000007,86456.12000000001,846.32006
845,13,10,31,5,3,567988.0799999998,4421.43828,629596.72,4905.356879999999
690,1,2,61,4,2,38403.28,684.81372,822639.48,8125.04578
436,12,1,8,5,1,19788.78,302.07102,26662.52,330.6259
1435,8,12,19,8,3,118805.85999999999,1192.97466,243173.27999999997,1540.9417600000002
1277,2,14,53,3,1,2449428.5000000005,22738.425819999997,6954479.279999999,74991.25426000002
1952,4,4,33,8,2,452758.9,3898.78894,1040496.5600000002,8785.896379999998
1480,1,2,46,4,1,619777.4400000001,7020.38946,2107968.1799999997,23293.285620000002
954,12,15,27,6,3,419925.64,3478.6420599999997,589823.9999999999,4525.7569
1706,2,15,42,5,3,184715.14,1717.8713999999995,1400053.8,12184.890300000001
1656,2,6,58,8,3,363210.80000000005,2977.84844,1895663.9799999997,16907.86614
139,7,13,15,6,2,3881.84,132.14213999999998,22591.46,339.49442
1849,8,1,18,8,1,589883.6600000001,5617.912760000001,434010.24000000005,4015.07182
1648,5,5,36,8,1,1887539.08,19294.39768,3471991.9199999995,40349.04403999999
1817,6,11,48,8,3,1019352.74,6552.5971,2858648.8200000003,22143.53358
185,1,10,16,5,1,11351.3,136.09064,51811.38,612.68466
1249,10,14,40,6,3,1658810.42,14531.45864,1831971.6,15612.74032
546,12,11,53,8,3,1538492.1199999999,13063.04538,1662688.6400000001,18086.02118
1014,10,15,10,5,3,24128.34,414.32612,63699.780000000006,629.8383200000001
1371,2,12,63,3,2,1117377.6,10695.50692,3971071.3,37842.45168
813,6,4,60,4,2,427658.81999999995,3245.24056,1553893.72,11633.396019999996
828,10,10,10,6,2,24166.160000000003,412.63599999999997,62331.4,614.2532000000001
666,12,6,31,8,2,614196.4199999999,5076.9551,525447.88,4359.76764
900,15,7,12,6,1,144975.26,1444.27596,113357.88,1084.24346
1356,14,9,14,8,3,120654.0,1151.75906,222378.62000000002,1421.0881399999998
1039,4,12,25,7,2,110900.62,1182.8986,393226.5400000001,3091.78636
1831,7,3,22,8,2,303258.42000000004,2416.42194,357040.07999999996,2732.26026
87,3,10,17,6,3,7119.12,81.56516000000002,19406.68,192.36498
819,12,3,61,7,1,7323091.640000001,93970.6401,6052323.360000001,68366.24432
981,12,1,35,7,1,2811413.6599999997,29917.984879999996,1968259.1800000002,21942.94698
1180,3,3,12,5,1,13852.5,398.97832000000005,57050.6,524.36872
1320,6,3,54,8,3,781456.74,5940.91734,1829973.3400000003,12710.779639999999
214,10,2,28,8,2,133478.74000000002,1278.96142,118947.43999999999,983.3148000000001
891,2,10,36,6,1,727023.3400000001,7611.84252,2355737.38,25735.324
1240,4,9,28,5,1,579257.58,5203.66578,1634107.16,16447.86846
311,6,14,47,3,1,627331.1799999999,5747.312680000001,1537737.76,14605.722
524,11,3,14,3,3,17172.78,279.58364,28472.860000000004,355.10486000000003
1710,3,6,44,5,1,1719003.22,14551.56942,2871091.2399999998,26197.24556
829,7,5,59,7,1,3643041.1399999997,35077.17912,4226855.66,42124.62332
1152,10,7,42,3,2,1410087.86,11509.29294,1714605.0799999996,14015.502559999999
1693,8,12,16,6,2,131646.41999999998,1205.1948,262977.78,1938.1606800000002
419,3,8,30,5,2,29445.74,368.41742,54200.31999999999,496.34029999999996
1305,2,9,55,6,2,648930.2600000001,5695.951599999999,2741533.4,26731.8446
197,12,9,43,8,2,455390.63999999996,3711.37768,486729.76000000007,4323.95026
1371,12,2,59,3,3,2957475.36,24874.52842,3040092.2,27774.08368
1082,1,6,53,7,2,202478.7,2023.3559199999995,1363514.56,12999.77918
1523,1,15,42,5,2,333767.46,3376.9162599999995,1965442.9,18853.37538
