batch_size,in_size,out_size,for_energy,for_time,back_energy,back_time
293,179,50,9130.86,212.81274,16097.38,216.24968000000004
2006,177,112,17840.519999999997,260.4978,33510.66,364.25522000000007
557,101,167,2070.3,56.55838,31673.540000000008,200.48293999999996
618,35,173,12759.960000000001,45.21481999999999,15653.0,185.75858000000002
1319,182,87,11157.2,133.55338,19479.920000000006,255.66266000000005
1875,188,17,0.0,102.97160000000001,4217.5,176.06078
1336,203,123,10657.960000000001,187.76258,36096.08,313.35404
1957,7,168,16324.4,113.89104,14454.3,248.85482000000002
192,67,246,11210.939999999999,38.21651999999999,13371.579999999998,157.47754
2019,122,147,13809.8,192.53232,24089.28,349.0434
