batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
1162,2,31,61,7,1,8663269.959999999,61874.8358,33571630.46,255121.14612000002
1261,8,12,38,7,3,923901.4,7468.247679999999,1165838.14,8923.28922
1385,14,19,21,4,1,1505621.12,13822.908599999999,2185923.34,21650.184759999996
1774,2,15,39,3,2,549977.8,5452.5445199999995,2252674.9,21139.985999999997
226,1,61,37,8,1,740312.9999999998,7748.626179999999,2988489.6,35300.86451999999
1831,10,26,36,3,3,1821295.42,15325.706799999996,2842789.32,24371.32746
63,8,11,60,8,1,448856.2,4225.11738,551707.6,5710.37072
2039,9,15,19,6,2,635686.86,5845.4433,779499.88,6808.5669
469,3,24,60,8,1,2638868.9800000004,26508.038080000006,4853399.500000001,56178.38822
1964,4,46,20,5,2,311195.54,2729.7189800000006,1110749.06,10046.44472
1831,2,52,29,8,3,373419.42000000004,3545.53534,1865749.6,19016.54046
1871,13,62,26,6,2,3596117.44,34558.55048,4776967.819999999,48674.109599999996
533,1,34,13,3,3,5887.42,161.24276000000003,38242.02,458.72613999999993
1174,6,25,41,3,2,913820.8799999999,7684.10444,2791351.46,23416.48018
571,4,45,23,5,3,42629.259999999995,599.3508399999998,208128.2,1643.65484
305,7,48,30,8,2,351593.38,3095.3385399999997,480125.68,4560.29156
645,13,12,29,6,1,1161749.98,10775.65822,1435792.16,15421.653079999998
952,7,53,56,8,2,5504636.74,63442.764520000004,8300158.32,94749.62950000001
641,1,61,28,3,3,47482.740000000005,646.7339999999999,467253.4600000001,3828.80208
1773,15,40,60,8,2,18095803.3,211239.80664000002,20934024.8,246229.37125999999
525,10,30,52,4,3,1108156.4,9802.73564,1674058.2399999998,14724.361540000002
689,14,39,8,6,2,22377.859999999997,448.71124,62704.92000000002,771.0871199999999
151,8,40,19,5,3,18541.18,247.14476000000005,32144.679999999993,445.12324
904,1,10,16,8,1,18146.96,408.16905999999994,225451.04000000004,2478.0862999999995
1795,4,52,57,6,2,5172151.02,44746.28222000001,12539775.040000001,143270.69147999998
1864,12,23,39,7,2,5129955.0600000005,51504.345380000006,6166722.54,54836.225159999995
560,7,36,46,8,3,866772.74,7160.525739999999,1243263.42,10697.61632
2025,10,53,10,6,3,143798.36000000002,1494.70516,278652.9,2404.22746
1181,15,23,47,5,3,2257373.34,19284.1654,2775814.42,25585.389579999995
211,9,2,43,7,2,340162.74,2944.45878,263179.26,2157.92906
76,2,44,14,5,1,20732.38,166.68876,39045.3,570.4259599999999
1361,12,31,62,3,3,3744104.2,35911.89224,6401209.24,62747.616660000014
170,5,15,36,8,2,57072.64,674.47198,183614.00000000003,1544.4218999999998
1367,5,18,25,7,2,339797.64,2634.3606999999997,782314.94,6248.530000000001
56,9,13,12,6,1,19846.18,198.39452,21946.960000000003,349.76038000000005
1646,6,39,12,3,2,37029.9,584.96228,170644.06,1406.3325399999999
1458,10,56,12,3,3,103289.5,1070.43154,237459.09999999995,1764.73132
338,14,21,17,3,3,27244.819999999996,292.1469,41386.64,485.99158
778,13,60,39,4,3,1323093.4999999998,11510.014940000001,2183806.66,18668.34352
1583,5,32,56,3,2,2474666.54,19786.89246,7816022.42,67611.2967
1620,10,48,36,8,3,3841662.54,34866.94739999999,3905461.2400000007,42299.48096
1486,6,13,42,5,2,720491.28,5032.537699999999,2240093.22,18178.15404
1162,2,40,22,6,1,899577.78,8147.65564,2870789.7600000002,27708.703220000003
1959,15,44,49,7,2,13060705.200000001,144793.61248,15347074.899999997,177630.14281999998
721,1,14,47,5,2,144536.94,1302.4496199999999,1085851.7200000002,8985.9476
1368,6,46,36,7,3,918521.86,7387.73886,1871281.7399999998,16745.076759999996
1559,15,1,26,6,2,1129323.3,9454.405920000001,987260.68,7827.483259999999
2016,5,34,39,5,1,6686276.760000001,66001.08444,14362917.280000001,169120.35501999996
159,2,26,43,6,2,41392.72,564.49862,267431.02,2398.18368
1092,5,44,47,6,3,1037106.68,8181.54684,2895579.8,24647.96952
968,3,48,35,8,2,871690.9400000001,7894.116039999999,1589960.5000000002,15675.61586
682,15,48,18,5,1,926772.6599999999,8386.478480000002,1324289.84,13824.596999999998
1918,13,45,47,8,2,12680012.760000002,138411.16898000002,15323381.2,181780.73122000002
326,14,63,45,5,1,4637634.66,51439.55658,7247160.380000001,87815.76784
