batch_size,in_size,out_size,for_energy,for_time,back_energy,back_time
117,244,364,12735.560000000001,282.0429600000001,28104.159999999996,400.78437999999994
1978,457,460,146004.22000000003,1363.65188,237594.64000000004,1898.3067600000002
251,43,242,6661.339999999999,47.934219999999996,6517.339999999999,197.93426000000002
872,347,288,22054.379999999997,350.26348,61971.340000000004,718.4825999999999
461,25,493,1040.04,59.93858,15889.86,240.18035999999998
1239,273,416,34767.96000000001,510.36532,87444.84,798.61288
243,367,138,5137.92,97.88224,18563.2,255.04540000000003
1129,135,144,7404.8,139.07822,17327.8,316.26346
731,229,29,4514.12,56.303,6866.4800000000005,189.02125999999998
377,250,155,11105.94,96.29035999999999,14487.26,263.55122
103,409,302,4913.320000000001,86.48568,17808.760000000002,225.63870000000003
1596,417,132,12283.9,358.38992,73895.12000000001,648.6785199999999
1062,43,160,6536.88,76.95009999999999,11512.42,237.28308
1543,332,177,14609.319999999998,369.70298,72511.87999999998,586.0129400000001
1438,296,373,37556.03999999999,564.6216,105757.8,865.75888
1201,267,151,12131.320000000002,237.03566,37418.08,428.50666
660,346,452,26600.28,407.75166,47620.8,621.0838200000001
687,280,267,17827.100000000002,258.48533999999995,32759.919999999995,512.62708
1739,184,366,25211.079999999998,446.23686,80897.05999999998,778.37742
741,105,65,1687.0,57.46116000000001,7166.74,236.20066000000003
472,316,308,18839.059999999998,211.16504,28992.860000000004,450.03256
1927,483,94,37985.74,446.7925800000001,102632.90000000001,883.4461599999998
1214,92,281,5458.9800000000005,172.62122,28592.440000000002,385.71254000000005
1332,477,54,8890.36,203.35551999999998,31451.359999999997,384.5172
1670,168,403,28484.999999999993,477.43589999999995,84770.36000000002,728.4487999999999
1858,300,187,13649.86,419.05448000000007,73848.7,668.0958
1604,348,298,37669.54,636.3569799999999,115619.84000000001,929.6559199999999
1549,413,136,8765.84,343.2022800000001,68356.73999999998,682.6326799999999
235,117,292,9487.28,61.53354,17298.52,239.90243999999993
313,128,166,6099.839999999999,61.19183999999999,18725.579999999998,225.61543999999998
1354,446,426,65001.04,859.6974200000001,165985.9,1429.01686
1002,439,9,1795.6599999999999,90.82586,14033.16,168.44284
634,262,318,13675.5,244.94626000000002,32740.360000000004,437.55398
1381,109,67,2136.2200000000003,103.81368,19664.24,241.25213999999997
442,60,131,1547.84,43.733819999999994,12477.960000000003,202.46911999999998
1078,260,406,21269.46,443.31922000000003,74279.68000000001,697.49526
926,287,243,11490.460000000001,283.21632,58017.36000000001,601.9075
775,503,240,29014.840000000004,379.23058000000003,46738.04,639.34484
1164,70,112,4168.679999999999,80.69586000000001,12102.039999999999,233.81434
1940,134,39,2958.9800000000005,105.03331999999997,13642.52,244.40324
720,232,7,2476.8,42.10977999999999,18015.04,151.93847999999997
444,311,107,2518.3,89.57951999999997,16821.2,279.51905999999997
1723,109,237,9216.24,226.66248000000002,36319.44,453.66360000000003
120,422,53,4876.7,47.309039999999996,11961.639999999998,137.14536
61,343,457,1474.6,68.32916,18006.560000000005,202.71677999999997
625,215,395,14240.679999999998,247.43076000000002,37306.979999999996,452.8199000000001
539,424,21,1037.6,55.74816,11119.38,179.10436
1478,165,362,23699.88,354.63652,70587.04,657.95978
553,159,399,7919.88,171.66240000000002,26053.420000000002,394.26198
939,305,26,5659.16,96.77614000000001,11378.14,198.6905
1689,92,61,8618.179999999998,104.91868,15910.6,248.65174000000002
1823,258,286,27969.960000000003,502.89162,101966.32000000002,798.8621599999999
1395,276,188,12402.320000000002,309.31465999999995,54710.56000000001,542.97076
518,217,302,9655.76,161.44616,40335.520000000004,381.08714
1865,130,445,24063.640000000003,419.11230000000006,81812.48,769.7870800000001
1939,366,97,11744.36,317.93854,45466.159999999996,494.61154000000005
1173,250,130,10956.96,191.19586,39146.59999999999,380.3739
1805,213,189,8040.74,312.26094,54517.68000000001,546.1886999999999
1887,73,99,8477.76,129.53732,15841.019999999999,294.78366000000005
1251,366,319,33662.02,549.2842,133063.62,1182.9444
347,411,371,18013.86,271.54012,34578.8,483.56004
2026,336,91,15634.7,309.37564000000003,47955.240000000005,471.54007999999993
473,409,315,15721.4,292.80096,48437.340000000004,570.89488
1536,492,387,76841.86,970.2084199999999,233969.1,2102.16916
570,277,21,7336.42,48.150279999999995,10273.419999999998,178.79584
1276,404,312,33969.64,568.0980000000001,117409.24000000002,1025.85706
996,16,348,6405.0,94.68106,20109.779999999995,268.22384
878,52,108,2901.62,53.14978,14905.960000000001,204.142
304,247,372,13196.960000000001,152.27125999999998,22713.62,321.08797999999996
1445,464,337,49879.1,782.2146,173662.87999999998,1396.8926999999999
244,123,469,5626.219999999999,79.7593,28286.059999999998,258.61726
882,300,137,9300.5,187.07301999999999,32210.640000000007,453.3888400000001
136,338,337,6143.76,93.3152,16865.219999999998,276.33132
44,226,14,14415.26,171.72446000000002,5631.1,177.18468
619,188,314,25880.060000000005,226.26040000000003,25455.219999999998,388.54758
720,257,398,22453.579999999994,324.71754,42741.5,568.02512
384,492,319,17963.82,272.22873999999996,44846.12,571.2343999999999
655,173,480,14612.98,259.42918000000003,28508.22,478.7984200000001
905,172,294,9536.12,220.46074,42744.08,451.12212
1659,165,86,4414.0599999999995,150.81668,27377.860000000004,323.21438
168,76,203,3736.5600000000004,38.26554,17537.78,166.75112000000001
236,496,318,7532.94,164.72796,29932.819999999996,417.22332000000006
1593,502,476,100839.59999999999,1213.23904,216577.80000000005,1847.04932
1967,164,26,4506.82,108.72818000000002,9138.179999999998,240.24079999999998
1011,429,157,19794.88,303.60688000000005,55366.119999999995,630.4002800000001
694,324,289,19685.0,291.8374,51537.96,665.16394
455,321,288,23482.66,297.17018,36041.16,450.42708000000005
1223,68,429,7801.460000000001,195.00516,29808.28,429.21974
1121,219,167,9447.02,215.00642,33617.979999999996,412.06772
1687,376,12,3666.9800000000005,165.1126,13990.460000000001,244.11333999999997
1642,137,252,4692.34,374.91316,73747.31999999999,618.03512
1739,63,483,24990.199999999997,611.6124400000001,59573.81999999999,715.74512
540,6,181,6635.74,44.28547999999999,15902.079999999998,196.60318
2006,222,298,23859.82,493.16633999999993,100101.09999999999,811.25638
235,49,135,2601.32,36.853860000000005,13427.719999999998,151.08288000000002
1787,36,353,11118.140000000001,161.02032,30996.02,430.02684
406,221,277,7954.08,124.92312,25565.119999999995,305.7477600000001
1884,482,264,64402.96,792.7068800000001,181182.36,1567.08668
195,41,244,1486.8,36.009319999999995,18150.620000000003,175.34444
828,383,482,37548.740000000005,566.6034999999999,88121.1,859.324
1630,109,431,21861.519999999997,465.129,80274.43999999999,844.3808000000001
849,503,56,3288.5800000000004,133.97066,20277.000000000004,286.5408800000001
817,486,27,6514.88,110.82658,15032.920000000002,234.18790000000004
230,504,27,1341.56,50.06902,10670.14,149.12958
963,462,66,13594.919999999998,174.40608000000003,21069.26,369.87412000000006
1966,142,345,14580.080000000002,388.93273999999997,88539.78000000001,726.55496
544,18,246,4112.5199999999995,45.94646000000001,14088.079999999998,215.61666
1220,306,387,21540.460000000003,533.99936,106871.01999999999,828.2626
1529,464,222,55659.04,768.6344199999999,121184.92,1053.6331999999998
360,7,397,1097.4,46.6126,7585.460000000001,198.29432
291,23,449,10844.7,51.23222,13633.98,214.51512000000002
567,288,327,14787.579999999998,254.25295999999997,28264.059999999998,467.40837999999997
233,58,497,7659.9,60.728559999999995,0.0,239.10093999999998
1717,429,489,99678.73999999998,1188.08642,203804.40000000002,1700.0988800000002
930,391,439,38587.600000000006,607.4684600000002,98301.68,985.0527599999999
1740,50,235,6027.82,146.5831,29011.26,356.55818000000005
1118,90,466,13450.920000000002,220.98496,41253.520000000004,458.07144
356,177,313,9455.560000000001,109.43676,21572.2,274.03202
489,294,353,6383.0199999999995,232.7986,19213.8,432.42258000000004
1987,337,52,6993.38,209.46308,16458.7,342.55852000000004
1339,178,440,15611.539999999999,387.80067999999994,78328.68,662.60126
1161,234,447,33315.36,484.60459999999995,83187.07999999999,737.4409599999999
653,405,427,28450.839999999997,442.0186,60683.340000000004,691.0076000000001
1103,381,489,43626.54000000001,722.98486,109645.76000000001,1049.67654
613,58,263,5819.08,70.68186,10529.719999999998,258.77524000000005
681,164,86,0.0,73.20295999999999,16378.12,243.3831
1831,225,120,10179.460000000001,241.62068,35526.02,437.3411
515,398,458,20373.48,388.35884,52062.81999999999,608.84826
469,128,173,3492.44,68.81499999999998,16531.94,231.69276
248,102,156,3933.0800000000004,45.51946,14984.14,187.56428
2008,309,386,64638.46000000001,792.27904,162392.1,1277.42834
590,4,156,5147.68,45.7547,14903.540000000003,192.91451999999998
792,233,94,7238.76,117.08824000000001,24285.839999999997,270.46042
924,82,230,8592.48,127.40474000000002,28874.480000000003,323.56466
1480,160,194,13311.74,219.64754,48194.48,431.73172000000005
2047,38,203,4093.0,145.38513999999998,23123.78,350.7254
675,353,94,9650.820000000002,135.34526,18771.96,337.04256
32,262,97,2736.8199999999997,31.23587999999999,4648.42,125.01906
1538,132,39,10107.4,98.30496,8255.579999999998,235.47150000000005
1687,459,166,26577.04,474.649,121222.74000000002,896.87382
1911,478,385,98699.7,1136.3714400000001,247131.86000000002,1926.4823199999998
1342,424,59,9127.14,193.17352,21790.699999999997,399.70758
455,422,302,14338.3,272.76766,44785.0,574.29618
424,17,191,4609.379999999999,47.1541,11578.32,187.59499999999997
486,315,235,7856.4400000000005,170.36152,39110.02,425.48786
535,133,1,10903.3,197.59481999999997,12988.240000000002,132.22934
1187,284,440,36666.18,536.77754,96133.8,814.73156
135,355,194,5988.76,76.00990000000002,15264.88,216.43372000000005
1780,404,174,24533.58,469.9210800000001,101463.42,830.5807400000001
2021,501,223,60577.3,793.40206,162326.18,1199.13564
1752,302,130,12896.68,299.58562,49030.62,510.58859999999993
1007,149,121,9537.3,129.09868,20449.18,293.44234
1486,119,60,1699.22,104.93964000000001,14456.74,233.20517999999998
1168,444,39,10025.619999999999,145.98381999999998,7836.9,289.20622000000003
1150,25,20,3426.5,38.764500000000005,8746.34,146.06094000000002
474,485,101,8247.02,128.26242000000002,21538.100000000002,327.47252000000003
189,126,234,3863.5199999999995,52.47371999999999,12467.02,201.57217999999997
1163,159,445,8895.24,344.3053,59119.65999999999,611.46362
1007,324,66,5244.1,140.35424000000003,20041.44,278.08682
96,318,320,8356.94,61.02168,15620.1,197.78407999999996
1416,266,486,50257.48,637.70258,113676.36000000002,1001.5487999999999
1535,488,494,88566.7,1167.45002,207438.38,1612.5626
556,498,113,23391.04,175.80982,28384.9,343.08778
1659,240,306,25388.12,456.89216000000005,86762.37999999999,748.72352
523,112,442,9321.3,141.80518,24216.280000000002,338.57052
920,477,231,24451.82,408.84982,71318.2,736.48414
751,209,226,7570.76,188.67447999999996,35872.74,393.56093999999996
391,250,100,6463.62,68.33188000000001,16776.079999999998,219.87723999999997
1739,338,32,2766.1,212.18746000000002,27747.76,335.8249
252,70,38,6210.9,41.06387999999999,17971.120000000003,231.79228000000003
455,189,226,9368.86,153.62152,32691.54,420.8151
1079,112,467,11513.619999999999,371.334,51431.759999999995,598.3627
604,137,305,11003.38,157.31006,22402.32,402.16272000000004
903,430,326,33399.6,546.29576,118904.68000000001,1065.73456
1518,338,236,21883.52,498.62480000000005,107192.15999999999,890.49226
2031,36,315,8723.16,173.43912,24471.4,435.27292000000006
837,464,190,9213.86,348.70050000000003,74843.61999999998,684.30892
1845,366,461,105550.28,1197.4136799999999,191419.2,1670.8837199999998
254,197,104,5252.66,51.04744,13300.779999999999,201.60931999999997
414,63,472,11772.42,111.34217999999998,21695.5,281.76022
207,326,104,12145.960000000001,69.67826,14540.98,273.88114
1735,434,182,22355.879999999997,523.06818,118506.79999999997,876.1073999999999
841,312,242,13127.420000000002,308.9952,54682.48,608.6539799999998
425,171,478,17836.9,232.55870000000004,30782.340000000004,450.94663999999995
1488,104,247,7786.840000000001,280.0819,43303.13999999999,489.50789999999995
1620,381,436,83061.28,1019.5865799999999,217263.9,1699.85724
694,373,347,12968.7,387.22336,90933.6,767.3365799999999
1137,102,494,13173.780000000002,337.34576000000004,67133.57999999999,589.99804
1401,123,284,9154.039999999999,298.12127999999996,57582.9,534.5197599999999
1471,212,190,12929.7,265.3672399999999,50012.0,471.85563999999994
703,13,78,6992.1799999999985,42.30559999999999,13254.4,175.96368
114,419,324,6982.4,96.67902000000001,23447.199999999997,281.03222
937,2,125,2407.2,57.27439999999999,12454.84,196.66670000000002
1094,136,476,19239.440000000002,288.96817999999996,43659.58,513.84248
1051,133,423,13345.960000000001,263.3985799999999,42349.7,524.6215199999999
1531,332,493,65186.63999999999,837.9283800000001,132517.96000000002,1219.8980999999999
1714,408,58,8818.34,223.26925999999997,29424.98,413.91178
75,341,431,9263.9,83.89428000000001,17984.56,212.48658
1688,55,488,10313.68,236.12016,54393.119999999995,559.9142800000001
631,413,309,24119.8,344.6432,55818.98,633.53588
463,69,130,2664.8,50.31368,14670.4,202.82758
1891,217,320,20689.62,482.95948,108029.46,834.3872800000001
1709,117,105,11489.240000000002,146.30358,17664.760000000002,318.4013
1403,311,440,47477.9,645.5079199999999,131889.22,1015.2317999999999
1977,158,391,24765.559999999998,484.0209,120802.92,840.2499599999999
1147,326,92,12589.060000000001,179.7109,32775.78,347.77000000000004
168,421,218,5057.359999999999,91.41746,16436.72,271.39522
873,487,2,3898.9199999999996,87.03421999999999,9113.72,166.70120000000003
1498,282,424,36804.12,619.11862,122231.05999999998,976.92302
1767,252,509,51712.520000000004,821.9179800000002,158568.86000000002,1189.8877
1283,94,168,8581.52,139.39126,24899.86,327.96644
436,166,444,10844.740000000002,189.12463999999994,24468.960000000003,357.60722
1924,119,223,10672.600000000002,253.26313999999996,34966.9,499.03409999999997
723,342,118,15777.62,174.11924000000002,25757.96,359.3719
1614,266,280,23095.679999999997,445.58062,88475.1,747.5214200000001
2025,10,20,1146.24,67.05494000000002,6180.4,199.65968
338,480,225,11453.84,173.8023,28306.839999999997,369.8301400000001
475,20,3,440.66,22.48252,6815.18,114.04191999999998
297,366,475,21136.440000000002,318.79928,39313.86,526.60034
603,488,73,15447.960000000001,149.17172,23729.140000000003,327.01606000000004
1574,107,92,6650.359999999999,145.19834,21330.5,305.7397399999999
978,93,239,8148.1799999999985,146.51257999999999,24440.84,344.37052
417,102,77,1470.94,46.16442,8730.42,177.05428
1247,197,263,9024.6,357.25608,56244.9,611.38854
1614,497,199,47087.280000000006,657.5394599999998,147359.2,1245.07752
1230,187,403,18959.920000000002,371.84566,76939.52,627.55928
563,199,461,11003.419999999998,265.79001999999997,32039.74,483.39792
417,397,284,14042.920000000002,220.1772,30441.800000000007,481.41888
188,45,482,3857.4199999999996,48.50226,10695.800000000001,218.15632
612,166,410,13314.14,206.5849,22927.18,397.89063999999996
792,403,230,14732.64,313.4705,54346.81999999999,608.13406
55,375,140,1369.6399999999999,47.00184000000001,9218.74,153.7754
871,101,76,4244.38,57.92926,16915.239999999998,217.21524
1218,378,37,6621.06,132.38892,19836.46,262.32228
153,374,38,4238.280000000001,43.54666,3311.78,137.30256
1726,5,90,5565.160000000001,88.02524,11063.220000000001,232.44600000000005
405,26,473,941.1600000000001,54.929539999999996,21164.480000000003,232.05179999999996
1966,170,145,14259.02,244.73182000000003,34894.88,418.27970000000005
737,22,241,4177.219999999999,59.94222,17436.5,238.77828
1478,63,339,10064.68,187.10244,32762.340000000004,441.31640000000004
520,20,229,2579.34,51.34438,13197.039999999999,217.70503999999997
1304,482,387,62858.67999999999,852.7517799999999,201311.81999999998,1639.46014
459,397,34,3106.66,115.45402000000001,27283.819999999996,307.30488
1116,373,13,6386.7,135.70184,20433.32,224.44316000000003
1494,359,21,8920.880000000001,120.65736,4748.5,226.29688000000002
1269,115,201,9149.16,176.85656,27131.26,391.1172
879,269,348,27299.72,333.96908,55040.159999999996,713.17224
1729,455,508,134315.96000000002,1264.4810199999997,204359.92,1818.2205399999998
333,61,372,5018.3,70.31787999999999,13509.48,227.60198
1215,178,429,10610.3,426.05658000000005,86832.04000000001,690.6853000000001
1670,88,96,7368.18,182.44119999999998,20884.94,339.00169999999997
392,196,170,5336.88,79.50984,16050.980000000001,306.0838
189,399,480,15290.439999999997,161.18124000000003,28970.939999999995,379.51378000000005
1422,452,205,27204.52,505.79478,113440.92000000001,1070.5256
1966,450,247,41418.259999999995,765.0632400000002,195253.36000000004,1404.58644
